"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:13:41.0405209 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\UFH\SHC\1","SUCCESS","Type: REG_MULTI_SZ, Length: 244, Data: C:\ProgramData\Microsoft\Windows\Start Menu\Programs\网易云音乐.lnk, C:\Program Files (x86)\Netease\CloudMusic\cloudmusic.exe, "
"12:13:41.0692211 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\UFH\SHC\2","SUCCESS","Type: REG_MULTI_SZ, Length: 258, Data: C:\ProgramData\Microsoft\Windows\Start Menu\Programs\网易云音乐\卸载网易云音乐.lnk, C:\Program Files (x86)\Netease\CloudMusic\UnInstall.exe, "
"12:13:41.0749350 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\UFH\SHC\3","SUCCESS","Type: REG_MULTI_SZ, Length: 256, Data: C:\ProgramData\Microsoft\Windows\Start Menu\Programs\网易云音乐\网易云音乐.lnk, C:\Program Files (x86)\Netease\CloudMusic\cloudmusic.exe, "
"12:13:41.0922936 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Search\InstalledWin32AppsRevision","SUCCESS","Type: REG_SZ, Length: 78, Data: {810C48FE-B30E-4C9F-B533-9682751AF756}"
"12:13:41.0980016 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\CloudStore\Store\Cache\DefaultAccount\$de${3db29389-6e8d-4762-aeea-f4406721110f}$$windows.data.unifiedtile.localstartvolatiletilepropertiesmap\Current\Data","SUCCESS","Type: REG_BINARY, Length: 1,365, Data: 02 00 00 00 8B F2 78 FD 5C 40 D5 01 00 00 00 00"
"12:13:41.4674141 AM","sihost.exe","3048","RegSetValue","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.Cortana_cw5n1h2txyewy\WasEverActivated","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:41.4757159 AM","svchost.exe","660","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\VolatileNotifications\41C64E6DA3830055","SUCCESS","Type: REG_BINARY, Length: 96, Data: 01 00 04 80 44 00 00 00 50 00 00 00 00 00 00 00"
"12:13:41.6732595 AM","svchost.exe","660","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2047949552-857980807-821054962-504\Microsoft.Windows.Cortana_cw5n1h2txyewy","SUCCESS","Type: REG_BINARY, Length: 24, Data: F1 22 CF FD 5C 40 D5 01 00 00 00 00 00 00 00 00"
"12:13:41.6783150 AM","svchost.exe","660","RegSetValue","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.Cortana_cw5n1h2txyewy\HAM\AUI\CortanaUI\V1\LU\PCT","SUCCESS","Type: REG_QWORD, Length: 8, Data: "
"12:13:41.8515655 AM","SearchUI.exe","656","RegSetValue","\REGISTRY\A\{4cc719af-3313-8577-b7e6-2a313b067640}\LocalState\Configuration\DisabledReason","SUCCESS","Type: <Unknown: 100000005>, Length: 12"
"12:13:41.8842685 AM","SearchUI.exe","656","RegSetValue","\REGISTRY\A\{4cc719af-3313-8577-b7e6-2a313b067640}\LocalState\CortanaCapabilities","SUCCESS","Type: <Unknown: 100000005>, Length: 12"
"12:13:41.8847136 AM","SearchUI.exe","656","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Search\CortanaCapabilityFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8704"
"12:13:41.8855798 AM","SearchUI.exe","656","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Search\CortanaCapabilities","SUCCESS","Type: REG_SZ, Length: 50, Data: PhoneCall,SpeechLanguage"
